[2026-07-07 21:06:56,482] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=auth | user=admin | action=login | status=success | meta={'ip': '127.0.0.1'}
[2026-07-07 21:06:56,486] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=farmer_ramesh | action=execute_agent:VerifierAgent | status=failure | meta={'reason': 'role'}
[2026-07-07 21:06:57,313] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=auth | user=admin | action=login_credentials | status=success | meta={'session_id': 'sess_d97bf8dfcf04a9a6', 'role': 'Admin'}
[2026-07-07 21:06:59,371] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=auth | user=anonymous | action=verify_token | status=failure | meta={'error': 'Malformed token structure', 'token': 'invalid_token...'}
[2026-07-07 21:06:59,384] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=websocket_handshake | status=failure | meta={'reason': 'Invalid token: Invalid token: Malformed token structure'}
[2026-07-07 21:06:59,394] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=websocket_handshake | status=success | meta={'warning': 'Unauthenticated connection accepted for backward compatibility'}
[2026-07-07 21:07:32,856] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=auth | user=admin | action=login | status=success | meta={'ip': '127.0.0.1'}
[2026-07-07 21:07:32,858] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=farmer_ramesh | action=execute_agent:VerifierAgent | status=failure | meta={'reason': 'role'}
[2026-07-07 21:07:33,501] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=auth | user=admin | action=login_credentials | status=success | meta={'session_id': 'sess_64e7be60ec617c52', 'role': 'Admin'}
[2026-07-07 21:07:33,591] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=auth | user=admin | action=token_refresh | status=success | meta={'session_id': 'sess_64e7be60ec617c52'}
[2026-07-07 21:07:33,647] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=auth | user=admin | action=logout | status=success | meta={}
[2026-07-07 21:07:33,664] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=auth | user=admin | action=verify_session | status=failure | meta={'reason': 'Session expired or inactive'}
[2026-07-07 21:07:33,667] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=auth | user=anonymous | action=verify_token | status=failure | meta={'error': 'Session expired or timed out', 'token': 'eyJhbGciOiAiSFM...'}
[2026-07-07 21:07:34,102] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=auth | user=anonymous | action=verify_token | status=failure | meta={'error': 'Malformed token structure', 'token': 'invalid_token...'}
[2026-07-07 21:07:34,107] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=websocket_handshake | status=failure | meta={'reason': 'Invalid token: Invalid token: Malformed token structure'}
[2026-07-07 21:07:34,123] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=websocket_handshake | status=success | meta={'warning': 'Unauthenticated connection accepted for backward compatibility'}
[2026-07-07 21:07:55,176] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_start | status=success | meta={'query': 'Should I plant Wheat in Ludhiana next season?'}
[2026-07-07 21:07:55,204] WARNING  in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=execute_agent:Memory | status=failure | meta={'reason': 'Unauthorized agent scope'}
[2026-07-07 21:07:55,599] INFO     in audit_engine [Trace: N/A, Request: N/A, Session: N/A]: [AUDIT] type=authz | user=anonymous | action=orchestrator_query_complete | status=success | meta={}
